data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;
16 de março de 2023;Muito bom;Tudo estava bem, porém o cheiro do banheiro estava um pouco ruim (mofo).;Cheiro do banheiro.;8;;;;;;;
16 de março de 2023;um local para dormir com conforto;Não tomei cafe da manha pois precisava sair mais cedo que o horario disponivel quando procurei a recepção, fui informado que não tinha como adiantar;;;;;;;;;
16 de março de 2023;Conforto e simplicidade, num local bem localizado.;Custo-benefício, limpeza, banho muito bom, espaço no quarto, cama confortável.;;;;;;;;;
;;;;;;;;;;;
"Tudo simples e muito satisfatório""";;8;;;;;;;;;
16 de março de 2023;Bom;localização;quarto minúsculo e muito barulho nos corredores;7;;;;;;;
14 de março de 2023;Ótimo custo benefício;Excelente localização, ótimo custo-benefício. Compensa muito.;;8;;;;;;;
14 de março de 2023;Bom;Localização, limpeza e estacionamento.;Café da manhã;7;;;;;;;
14 de março de 2023;Eu recomendo;Bom custo beneficio;A pouca variedade no café da manha;9;;;;;;;
12 de março de 2023;Foi tranquila;Do café da manhã e do atendimento;Achei a recepção muito quente;8;;;;;;;
7 de março de 2023;Fantástico;a localização e o café da manhã . funcionários são atenciosos.;;9;;;;;;;
7 de março de 2023;Bom;Da localização perto da Praia de Boa Viagem;A cama não era confortável;7;;;;;;;
3 de março de 2023;Fantástico;;Precisa melhorar mais o café da manhã;;;;;;;;
Mais opções ;;;;;;;;;;;
"E mais tomadas no quarto""";9;;;;;;;;;;
3 de março de 2023;Fantástico;O Café da Manhã é Ótimo! Tem Várias coisas próximas pois fica localizado em uma avenida super movimentada! E o Quarto estava Limpo!;O isolamento acústico do Quarto não é muito bom, então de manhã logo cedo da pra ouvir as pessoas passando no corredor e conversando....e a Televisão não é smartv e não Tem Netflix nem YouTube....;9;;;;;;;
3 de março de 2023;Fantástico;Hotel com ótimo custo benefício, café da manhã simples e agradável, acomodações limpas, internet de boa qualidade, tv com netflix e localização maravilhosa para praia e sem dificuldades para o centro. Ótima escolha.;;9;;;;;;;
27 de fevereiro de 2023;Estadia razoável e preço agradável.;Localização.;;7;;;;;;;
19 de fevereiro de 2023;Muito bom;Da comodidade o quarto, muito boa.;Do café da manhã, pouca variedade.;8;;;;;;;
18 de fevereiro de 2023;Muito bom;Custo benefício bem razoável, preço justo pelo que oferece.;Não teve nada desagradável .;8;;;;;;;
17 de fevereiro de 2023;Muito bom;Café da manhã perfeito , maravilhoso. Ótima localização, a poucos metros da orla de boa viagem;Meu quarto ainda não estava reformado, a cama não era muito boa;8;;;;;;;
16 de fevereiro de 2023;Muito tranquila;Café simples e bem feito;;;;;;;;;
15 de fevereiro de 2023;para uma dormida, o hotel foi bom.;localização e preço;nada que mereça colocar aqui.;8;;;;;;;
15 de fevereiro de 2023;Muito bom;Ótima localização e organização. Excelente custo benefício;Travesseiro muito magrinho;8;;;;;;;
12 de fevereiro de 2023;Bom;Café da manhã;Internet;7;;;;;;;
10 de fevereiro de 2023;Muito bom;Localização, custo benefício, garagem e café da manhã;Nada que venha desadradar;8;;;;;;;
10 de fevereiro de 2023;Fantástico;Localização;;9;;;;;;;
10 de fevereiro de 2023;Fiquei satisfeito;Regular;;7;;;;;;;
8 de fevereiro de 2023;Fantástico;Boa localização, excelente atendimento.;O café da manhã é um pouco fraco em relação a outros. Mas no geral muito bom.;9;;;;;;;
7 de fevereiro de 2023;Bom;Café da manhã dentro dos padrões para o preço da diáriae a localização é boa, pena que tem poucas vagas para estacionamento.;Achei poucas vagas de estacionamento;7;;;;;;;
7 de fevereiro de 2023;Muito bom;Excelente acomodação.;;8;;;;;;;
6 de fevereiro de 2023;Muito bom;O espaço do quarto estava satisfatório;;;;;;;;;
Próximo à praia;;;;;;;;;;;
"Opção de alimentação variada""";Horário do café poderia começar mais cedo;8;;;;;;;;;
6 de fevereiro de 2023;ótima;Boa localização, atendimento dos funcionários excelente, e café da manhã básico mas muito saboroso. Ótima escolha, voltaria a me hospedar com certeza.;Poderia ter escova de dente e touca no banheiro, e café descafeinado no café da manha.;8;;;;;;;
4 de fevereiro de 2023;A estadia foi aprazível.;Gostei bastante das acomodações e do café da manhã. Ótimas opções.;;8;;;;;;;
4 de fevereiro de 2023;Ótimo custo-benefício;Funcionários atenciosos, ambiente limpo, boa quantidade de opções no café da manhã.;Só me incomodou o fato de o quarto não ter uma janela ou outro espaço para entrada de ar, só tinha um basculante com visão para uma parede, que mal dava pra saber se era dia ou noite.;9;;;;;;;
3 de fevereiro de 2023;bom custo benefício;bom custo benefício, café da manhã não tem muitas opções, mas é bom.;nada que desabone a pousada.;8;;;;;;;
2 de fevereiro de 2023;Voltaria ao Uzi Mar;A gentileza dos funcionários, o conforto da cama, a limpeza do quarto, a localização do hotel.;Faltou ter toalha de mão no banheiro e a disposição dos alimentos no café da manhã fazia com que formasse fila para as pessoas se servirem como se fosse restaurante de comida a quilo. No primeiro dia isto atrapalhou o café.;9;;;;;;;
2 de fevereiro de 2023;Hotel razoável;Limpeza, café da manhã;Travesseiros não macios;;;;;;;;
"Um pouco distante do aeroporto""";7;;;;;;;;;;
1º de fevereiro de 2023;Ótima;Ótimo café da manhã com varias opções de comida ! Localização perfeita a uma quadra da praia de boa viagem !;;9;;;;;;;
1º de fevereiro de 2023;Fantástico;Gostei muito do Hotel, tem estacionamento na frente e coberto! O quarto bom.;Achei pouca variedade no café da manhã em relação à ‘mistura’ (só havia ovo e salsicha ou ovo e calabresa) e o cuscuz estava sempre seco. Como tinham outras preparações fiquei satisfeita. Porém mesmo assim compensa pelo custo benefício! Voltaria outras vezes!;9;;;;;;;
31 de janeiro de 2023;Acomodação razoável.;Gostamos da localização. É pertinho da praia e de locais de alimentação. Também gostamos do café da manhã.;Não gostamos do tamanho do apto. Muito pequeno! Não tem isolamento acústico, e, com isso, ouvimos muito barulho (TV, conversas, discussões) durante o dia e a noite. Não há sossego depois das 22h porque dá pra ouvir tudo o que ocorre nos corredores e aptos vizinhos. Ou seja, nosso descanso foi tumultuado pela má educação dos outros hóspedes, pela falta de regra de silêncio após às 22h e pela falta de estrutura dos aptos para reduzir ruídos externos.;;;;;;;;
Também não gostamos dos travesseiros;" pois eram muito baixos e desconfortáveis para o pescoço.""";7;;;;;;;;;
30 de janeiro de 2023;boa;quarto;banheiro com vazamento no box;9;;;;;;;
30 de janeiro de 2023;gostei muito e voltaremos;atendimento, limpeza e café da manhã;o café poderia ir até mais tarde;9;;;;;;;
29 de janeiro de 2023;Muito bom;Excelente custo benefício!! Boa localização e acomodação.;O café da manhã tem poucas opções, porém o suficiente para fazer uma boa refeição.;8;;;;;;;
29 de janeiro de 2023;Bom;Atendimento excelente;Muito barulho, os quartos são colados e os hóspedes fizeram muito barulho durante a noite;7;;;;;;;
28 de janeiro de 2023;Bom;Localização;Quarto com pouca ventilação e abafado.;7;;;;;;;
27 de janeiro de 2023;Muito bom;A localização é excelente e o café da manhã tem muitas opções.;;8;;;;;;;
27 de janeiro de 2023;Bom;Localização. O hotel fica próximo de bares, restaurantes, farmácia, padaria...;Só havia um lençol fininho e pequeno para se cobrir. Precisamos pedir dois. O café da manhã é fraquinho e o quarto pequeno. Mas diante do custo é ok.;7;;;;;;;
27 de janeiro de 2023;O hotel possui um excelente custo-benefício. Recomendaríamos com certeza.;Café da manhã satisfatório com o básico mas tudo muito saboroso. Quartos bem limpos e o chuveiro com água aquecida e forte.;Sentimos falta de luz natural e vista do quarto pois a janela era virada para um corredor. Wi-fi falhava algumas vezes.;8;;;;;;;
26 de janeiro de 2023;Bom;localização;o lençol de cama estava sujo;7;;;;;;;
26 de janeiro de 2023;excelente localização;localização;;8;;;;;;;
25 de janeiro de 2023;Preço justo;café da manhã muito bom;;;;;;;;;
acomodações muito boas;;;;;;;;;;;
localização do muito boa;;;;;;;;;;;
atendimento cordial;;;;;;;;;;;
"rapidez no atendimento tanto no entrada como na saída.""";nada a declarar;8;;;;;;;;;
25 de janeiro de 2023;muito boa, mas a infraestrutura precisa melhorar;atendimento e limpeza;o cheiro não muito agradável;8;;;;;;;
25 de janeiro de 2023;Fantástico;Café da manhã é bom.;;9;;;;;;;
25 de janeiro de 2023;Bom Custo Benefício!;custo benefício! Localização!;café da manhã!;9;;;;;;;
24 de janeiro de 2023;Boa Estadia;Gostei do quarto, do café da manhã, do custo benefício, dos funcionários, especialmente, da Lena e do Mizael.;;8;;;;;;;
23 de janeiro de 2023;ficaria novamente;muito bom. e pessoal muito simpatico;estacionamento .;9;;;;;;;
23 de janeiro de 2023;Muito bom;Muito bem localizado, simples mais aconchegante. Bem limpo e funcionários atenciosos e educados.;Atraso no check in.;8;;;;;;;
23 de janeiro de 2023;Fantástico;A localização que é excelente, muito próxima a praia de Boa viagem.;;;;;;;;;
"O custo benefício é excelente.""";;9;;;;;;;;;
22 de janeiro de 2023;Fantástico;Tudo legal.;Devia ter aquelas placas de solicitação de arrumação do quarto para pendurar na porta.;9;;;;;;;
20 de janeiro de 2023;Ótima localização;A localização é excelente: pertinho da praia e, principalmente, do aeroporto, o que facilita muito para quem está embarcando ou desembarcando na cidade. L café também é ótimo.;Na verdade, a acomodação estava de acordo com o anunciado nas fotos, então, nada a reclamar.;9;;;;;;;
20 de janeiro de 2023;Muito boa, dentro das expectativas . Ótimo custo benefício.;Café da manhã muito bom;;;;;;;;;
18 de janeiro de 2023;Excelente localização;;Café da manhã, pouquíssimas opções.;9;;;;;;;
17 de janeiro de 2023;muito bom o custo benefício;próximo ao aeroporto e ao lado da praia;;8;;;;;;;
17 de janeiro de 2023;Muito bom;Da localização e limpeza;O quarto só foi disponível as 15hs. Sendo que o check-in inicia as 14hs;8;;;;;;;
15 de janeiro de 2023;Bom;Da limpeza e conforto do apartamento 225;;7;;;;;;;
11 de janeiro de 2023;Bom;O hotel no tinha vista nenhum na janela.;;;;;;;;;
nao tinha edredons no hotel;" causando desconforto.""";melhor café da manha;;;;;;;;;
"disponibilidade de cobertores mais confortáveis.""";7;;;;;;;;;;
10 de janeiro de 2023;Bom;O hotel fica a duas quadras da praia. Os funcionários são bem atenciosos.;O hotel parece um labirinto, em reforma. As portas dos banheiros fazem muito barulho. Café básico.;7;;;;;;;
10 de janeiro de 2023;Fantástico;Ótimo custo benefício, localização privilegiada e funcionários atentos e educados.;Hotel peca um pouco no conforto, não oferece mantas e é possível ouvir muito o barulho dos outros hospedes e funcionários nos corredores. As vezes antes das 7h da manhã.;9;;;;;;;
9 de janeiro de 2023;Foi apenas uma noite, no geral gostamos da estadia, boa localização e bom custo benefício.;Localização;Falta de elevador e atenção no atendimento.;7;;;;;;;
9 de janeiro de 2023;Bom;O hotel é limpo, tem um café básico, mas gostoso.;Muito barulho. As portas dos banheiros (todos) precisam urgentemente de manutenção. Ao ponto que quando abrem no quarto vizinho, você escuta no seu quarto.;7;;;;;;;
9 de janeiro de 2023;Muito bom;;Café da manhã poderia ter mais opções.;8;;;;;;;
9 de janeiro de 2023;Bom;Localização. Preço.;Café Manhã.;7;;;;;;;
8 de janeiro de 2023;Excelente custo benefício;Hotel com boa localização.;As camas ficam um pouco a desejar.;9;;;;;;;
7 de janeiro de 2023;Muito bom;Quartos limpos e funcionários muito simpáticos;Reforma...e falta de elevador;8;;;;;;;
6 de janeiro de 2023;Muito bom;O café da manhã é muito bom;Não tem elevador;8;;;;;;;
6 de janeiro de 2023;Voltarei;Localização, atendimento, café da manhã, excelente.;Subir escada;9;;;;;;;
3 de janeiro de 2023;bom custo benefício;bom café da manhã, quarto pequeno porém confortável. localização otimaaa;;8;;;;;;;
31 de dezembro de 2022;Fantástico;Café da manhã bem satisfatório.;;;;;;;;;
Funcionários excelentes;;;;;;;;;;;
Apesar de ter uma cara de hotel simples;" o custo benefício vale a pena.""";O hotel todo tá sendo reformado.;;;;;;;;;
O banheiro é um pouco pequeno e mal estruturado.;;;;;;;;;;;
"Água quente não funcionou muito bem""";9;;;;;;;;;;
31 de dezembro de 2022;Bom custo benefício;A Localização é boa. Poucos metros da orla de boa viagem. Quarto limpo e cama confortável. Café da manhã simples.;Tive dificuldade em ter água quente no chuveiro. Seguimos as orientações mas a água não esquentava.;8;;;;;;;
29 de dezembro de 2022;Muito boa;O hotel tem novos quartos no primeiro piso muitos bons. Nem todos os quartos tem ar condicionado silencioso. Por isso, precisamos trocar de quarto. Achamos ótimo o café da manhã e a proximidade da.praia e acesso a outras vias para Olinda etc.;;9;;;;;;;
22 de dezembro de 2022;Fantástico;Localização, conforto,limpeza e atendimento e um ótimo café da manhã.;O estacionamento pequeno. Sai a noite e quando voltamos não tinha vaga pra estacionar. Tive q deixar o carro na rua;9;;;;;;;
22 de dezembro de 2022;Bom;a água do hotel tem cheiro ruim.;;7;;;;;;;
22 de dezembro de 2022;Boa;gentileza dos funcionários;quartos antigos;7;;;;;;;
16 de dezembro de 2022;Bom custo-benefício para poucos dias de hospedagem.;Bom custo-benefício e com acesso a restaurantes baratos próximos.;No quarto que fiquei a vista não era muito boa, mas não fiquei muito tempo no quarto.;8;;;;;;;
12 de dezembro de 2022;Muito bom;Atencao da equipeda recepcao e da limpeza;o cafe da manha e simples, porem bom.. exeto a falta de sucos e outras comidas eventualmente;8;;;;;;;
10 de dezembro de 2022;Boa;Boa localização, preço razoável, café da manhã razoável pode ser melhorado.;Café precisa melhorar;7;;;;;;;
9 de dezembro de 2022;Bom custo benefício;chuveiro, café, atendimento, localização;porta só abre a metade, ar condicionado razoável, só dão um cartão para duas pessoas;7;;;;;;;
4 de dezembro de 2022;Bom;Localização;Café da manhã com poucas opções;7;;;;;;;
3 de dezembro de 2022;Nao pretendo voltar.;Dos funcionarios. Atenciosos.;Das instalaçoes, quarto sem ventilaçao e FALTA DE COBERTOR;8;;;;;;;
