data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;
"Tinha uma obra no lado do hotel que nos acordava muito cedo.""";9;;;;;;;;;;;;;;;;;;;;;;;;;;
24 de janeiro de 2023;excelente.;café da manhã e localização.;;9;;;;;;;;;;;;;;;;;;;;;;;
24 de janeiro de 2023;Recomendo pelo custo benefício, uma ótima localização.;Gostei do quarto, bem espaçoso e cama ótima p dormir.;Faltou q limpeza do quarto 1 dia, e o café da manhã pode melhorar.;9;;;;;;;;;;;;;;;;;;;;;;;
20 de janeiro de 2023;Muito bom;Localização muito boa.;Falta uma tv a cabo.;8;;;;;;;;;;;;;;;;;;;;;;;
19 de janeiro de 2023;Bom;quartos novos;café da manhã;7;;;;;;;;;;;;;;;;;;;;;;;
14 de janeiro de 2023;custo-benefício, nota 7!;camas boas;;;;;;;;;;;;;;;;;;;;;;;;;
12 de janeiro de 2023;É uma ótima opção custo-benefício, localização excelente, café da manhã completo e quartos limpinhos;A localização é excelente, tem tudo muito perto além de ser fácil para a utilização do transporte público. Além disso o café da manhã é simples, mas completinho, e a tapioca feita na hora é uma delícia.;Achei o chuveiro fraco, baixa pressão e não tem box, tem uma cortina que escurece bastante o ambiente. Também foi um pouco difícil o fato de o banheiro não ter ventilação, então para quem está acompanhade às vezes fica um pouco difícil. Acredito que seria importante ter um lixeiro no quarto para descartar lixinhos do dia-a-dia e, por fim, achei bem chato que a cobrança da estadia no meu cartão de crédito ocorreu sem qualquer aviso ou oportunidade de escolha de outra forma de pagamento (pix, débito, dinheiro, parcelamento, dividir com a outra hóspede).;8;;;;;;;;;;;;;;;;;;;;;;;
12 de janeiro de 2023;Excelente custo benefício;Excelente custo benefício, hotel muito bom.;;9;;;;;;;;;;;;;;;;;;;;;;;
11 de janeiro de 2023;Muito bom;Recepção excelente, o quarto mtt aconchegante.;porém senti falta de algumas coisas na estrutura do hotel, o elevador parecia mtt velho e o ar não gelava mtt bem, mas não afeta assim tanto a experiência.;8;;;;;;;;;;;;;;;;;;;;;;;
11 de janeiro de 2023;Fantástico;Localização;Falta de estacionamento;9;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2023;Muito boa, voltaria a me hospedar nesse hotel;Localização, cordialidade dos funcionários, limpeza;Falta de espelho no quarto;8;;;;;;;;;;;;;;;;;;;;;;;
2 de janeiro de 2023;Muito bom;Localização;Apartamento pequeno;8;;;;;;;;;;;;;;;;;;;;;;;
29 de dezembro de 2022;Boa;Localização, custo-benefício, atendimento dos recepcionistas, em especial no período noturno.;Check-in mais flexível em termos de horário.;7;;;;;;;;;;;;;;;;;;;;;;;
28 de dezembro de 2022;tranquila;limpeza;espaço;7;;;;;;;;;;;;;;;;;;;;;;;
28 de dezembro de 2022;tranquila;limpeza;espaço;7;;;;;;;;;;;;;;;;;;;;;;;
25 de dezembro de 2022;Fantástico;Tudo;Nada;9;;;;;;;;;;;;;;;;;;;;;;;
15 de dezembro de 2022;Vale o custo-beneficio;A localização é bem proxima da praia de boa viagem. Tem bar/restaurantes/farmcaria proximos, dá pra fazer muita coisa a pé. O quarto é confortavel e silencioso. O cafe da manhã, ok.;De nao ter o frigobar com alguns itens básicos. Vendem agua e outras bebidas na recepção, porém.;8;;;;;;;;;;;;;;;;;;;;;;;
12 de dezembro de 2022;Muito bom;A localização é perfeita! 1 quadra de meia da praia, perto da padaria boa viagem que serve refeições mais em conta e deliciosas, mas tambem perto de restaurantes mais luxuosos. O bar que fica exatamente na frente é perfeito!;;;;;;;;;;;;;;;;;;;;;;;;;
O café da manhã é maravilhoso; tapioca quentinha na hora;" uma cookie incrível (esquente 10 segundos no microondas rsrs).""";O banheiro do quarto triplo é pequeno e do quarto individual maior rsr;;;;;;;;;;;;;;;;;;;;;;;;
Não tem um lugar para retirar a areia quando chega da praia; fazer isso no quarto e com criança ainda suja tudo...;;;;;;;;;;;;;;;;;;;;;;;;;;
Eu achei o teto do hotel no geral um pouco baixo; pra quem é alto da uma sensação esquisita; mas da pra acostumar.;;;;;;;;;;;;;;;;;;;;;;;;;
Os lençóis estão bem desgastados com pequenos furos e pequenos ara a cama;" a gente acordava nos colchões e enrolados nos lençõis""";8;;;;;;;;;;;;;;;;;;;;;;;;;
15 de novembro de 2022;Muito bom;localização, funcionários educados;ar condicionado, banheiro;8;;;;;;;;;;;;;;;;;;;;;;;
14 de novembro de 2022;localização boa;café da manhã muito bom!;não tem estacionamento, quarto muito barulho da rua, não tem frigobar com bebidas pra comprar, tem que pedir na recepção;7;;;;;;;;;;;;;;;;;;;;;;;
13 de novembro de 2022;Muito bom;Sem comentários;Um pouco de barunho da obra no 601;8;;;;;;;;;;;;;;;;;;;;;;;
8 de novembro de 2022;gostei, posso retornar sim;banheiro espaços, roupas limpas, confortável, ar condicionado funcionava muito bem;achei o quarto com um pouco de cheiro de mofo, mas logo saiu, mas foi a minha primeira impressão, depois tudo bem;8;;;;;;;;;;;;;;;;;;;;;;;
7 de novembro de 2022;Voltaria sim ! Porém antes iria pedir um quarto com espelho;Localização e café da manhã;O quarto não tinha espelho grande só o do banheiro acima da pia, não tinha como se ver arrumada !!;7;;;;;;;;;;;;;;;;;;;;;;;
24 de outubro de 2022;Só passei uma noite, quarto escuro. Mais parecia um hostel.;localização;as fotos não correspondem ao local. Preço alto pelo que foi oferecido.;7;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2022;Bom;Atendimento dos funcionários e localização excepcionais!;Instalaçoes.;7;;;;;;;;;;;;;;;;;;;;;;;
11 de outubro de 2022;Recomendo.;Gostei do atendimento. Principalmente da atendente Luana. Profissional equilibrada, sempre de prontidão e muito simpática. O banheiro, comparando a outras experiências, é bem amplo e em uma ótima ducha. Café da manhã atendeu as.expectativas. Recomendo o estabelecimento.;Não houve troca de toalhas. Mas não foi problema. Porém, a iluminação do quarto precisa melhorar.;8;;;;;;;;;;;;;;;;;;;;;;;
10 de outubro de 2022;o custo benefício é bom, fica numa localização boa, o hotel é um pouco apertado, mas os quartos são ate amplos, a cama é;o quarto é confortável, cama boa!;pouca opção no café da manhã e algumas coisas no quarto q precisam de melhorias(torneira da pia molha tudo, armário do banheiro encharcado, o piso do quarto tb, tinha um pouco de cheiro de mofo);7;;;;;;;;;;;;;;;;;;;;;;;
28 de setembro de 2022;Muito bom;Localização bem próxima à praia, e café da manhã muito bem servido.;Um odor de esgoto no banheiro.;8;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2022;Viajei sozinha, foram 3 dias e o hotel supriu as minhas necessidades,;A localização sem dúvida é o ponto forte. Tem um bar/restaurante em frente com música ao vivo, que dá pra ouvir do quarto, mas não foi incomodo. O quarto e o banheiro são muito pequenos, mas são confortáveis. Os recepcionistas sempre de prontidão para auxiliar em qualquer dúvida.;Café da manhã muito saboroso, mas sem muitas opções.;8;;;;;;;;;;;;;;;;;;;;;;;
22 de setembro de 2022;Bom custo-benefício;Bom café da manhã. Localização excelente, bem próximo da orla de boa viagem e também de vários restaurantes bons. O pessoal da recepção foi bem gentil.;O ponto negativo pra mim é a falta de estacionamento. Pra achar vaga na rua é difícil, pois tem um barzinho badalado em frente ao hotel.;8;;;;;;;;;;;;;;;;;;;;;;;
21 de setembro de 2022;Boa;Pero dos melhores bares de boa viagem;Não ter estacionamento;8;;;;;;;;;;;;;;;;;;;;;;;
17 de setembro de 2022;Muito bom;O quarto é muito bom, cama excepcional. O café da manhã é muito bom.;Não tem estacionamento para veículos. O prédio ao lado estava em obras, com muito barulho de martelete.;8;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2022;Confortável;Atendimento da equipe da recepção, muito educados e equipe do café da manhã nota 1000;Do banheiro, mais como preço estava em conta já era esperado...;9;;;;;;;;;;;;;;;;;;;;;;;
2 de setembro de 2022;foi muito bom;tudo muito limpo ,quarto muito confortável;do banheiro tinha um cheiro ruim mais muito limpo;9;;;;;;;;;;;;;;;;;;;;;;;
30 de agosto de 2022;Fantástico;Muito bem localizado, 1 quadra da praia, tem padaria, restaurante e mercado perto. Instalação boas e quarto bem confortável.;Na frete tem um bar que faz barulho até tarde da noite isso acaba atrapalhando o descanso a noite.;9;;;;;;;;;;;;;;;;;;;;;;;
24 de agosto de 2022;Muito bom;Os funcionários são ótimos,simpáticos, prestativos, só elogios. O hotel esta em obras, e a escada de subida na entrada estava ainda sem corrimão e os degraus sem marcação que desse noção do término dos mesmos. Com chuva , e pessoa sem enxergar muito bem é apreensivo. Café da manhã bom, tapioca bem gostosa. Localização excelente muitos restaurantes bem proximos, um em frente. Farmacia, supermercado etc..tbem bem pertinho. Esqueci o clip do meu óculos no quarto, ligaram pra mim e prontamente enviaram pelo correio. Enfim , gostei muito, voltarei com certeza.;;8;;;;;;;;;;;;;;;;;;;;;;;
22 de agosto de 2022;Muito bom;Sou cliente do hotel há um tempo, sempre que vou a recife fico no Dublê. Gosto da localização, gosto dos quartos e dos funcionários.;Dessa vez a única coisa que não correspondeu as expectativas e não estava dentro do padrão do hotel, foram os lenções e fronhas que estavam parecendo com mau cheiro, parecia que estavam sendo reutilizadas.;8;;;;;;;;;;;;;;;;;;;;;;;
14 de agosto de 2022;Considerando os pontos abordados, foi uma estadia satisfatória.;gostei das camas , do atendimento dos funcionários e localização .;Nao gostei do fato de não ter estacionamento, porém no ato da reserva eu já tinha conhecimento desse fato, seria um ponto a ser melhorado. Sobre o café , achei bom, uma opção de suco , uma opção de raiz, três opções de frutas, porém há variedade de pães e bolos, custo benefício ótimo.;8;;;;;;;;;;;;;;;;;;;;;;;
25 de julho de 2022;Muito Bom;Limpeza , conforto;Barulho do Bar na frente !!;8;;;;;;;;;;;;;;;;;;;;;;;
18 de julho de 2022;Bom;Eu gostei do café da manhã, do quarto e banheiro.;Da internet;7;;;;;;;;;;;;;;;;;;;;;;;
17 de julho de 2022;Otimo custo benefício, mas o café da manhã poderia ser mais variado;A localização é excelente, o custo benefício também!;O café da manhã poderia ser mais variado;8;;;;;;;;;;;;;;;;;;;;;;;
14 de julho de 2022;Fiquei satisfeito com a minha estadia.;Excelente localização e preço razoável;Elevador deteriorado;8;;;;;;;;;;;;;;;;;;;;;;;
26 de junho de 2022;Muito bom;cama muito boa;;8;;;;;;;;;;;;;;;;;;;;;;;
18 de junho de 2022;Bom custo benefício;Dá recepção, café,cama confortável e perto da praia.;Nada;8;;;;;;;;;;;;;;;;;;;;;;;
17 de junho de 2022;Atende as espectativas para uma noite;O café da manhã é ótimo, atende as espectativas.;;;;;;;;;;;;;;;;;;;;;;;;;
A vista é boa; o local é ótimo perto de bares tradicionais da capital pernambucana que possuem uma ótima música;" o que é sempre bom pra relaxar não é mesmo? Foi uma noite satisfatória.""";Cama do estabelecimento precisam de melhoria, são camas um pouco duras.;;;;;;;;;;;;;;;;;;;;;;;;
A reforma do espaço; mas esse não foi o pior ponto; até porque.. após a reforma o hotel ficará muito melhor.;;;;;;;;;;;;;;;;;;;;;;;;;
Partes de mofo no teto de gesso da área das refeições;" provávelmente por conta das chuvas dos últimos dias.""";8;;;;;;;;;;;;;;;;;;;;;;;;;
15 de junho de 2022;Bom mas dá para ser melhor.;Localização e cordialidade dos funcionários.;A limpeza não estava boa, tinha um pouco de fungo na cortina e nos azulejos do banheiro.;8;;;;;;;;;;;;;;;;;;;;;;;
13 de junho de 2022;Avaliação;Do quarto e banheiro, organizados e limpos;Café da manhã e TV, café limitado e TV pela falta de acessos à outras plataformas.;8;;;;;;;;;;;;;;;;;;;;;;;
10 de junho de 2022;Bom;;Cheiro de mofo no saguão de entrada e corredores. No apartamento não havia cheiro de mofo. Cafe da manhã fraco. Nao tem estacionamento.;7;;;;;;;;;;;;;;;;;;;;;;;
6 de junho de 2022;Boa localização e confortável;Hotel bem localizado, perto da orla e em frente tem um bar, pizzaria, hortifruti, farmácia... Quarto confortável e novo. Café da manhã variado.;Quando chegamos a TV do quarto não estava funcionando, mas liguei na recepção que prontamente enviou um técnico que confirmou que estava quebrada e muito solícitos nos trocaram de quarto. O banheiro do segundo quarto era melhor do que o que nos colocaram primeiro, pois possuía box. Talvez estejam trocando, pois o hotel estava em reforma. No café da manhã tem tapioca feita na hora, mas não consegui comer porque o presunto estava azedo.;9;;;;;;;;;;;;;;;;;;;;;;;
4 de junho de 2022;o lugar aonde eu ficaria sempre que for lar 😍;cama super macia;a limpeza ;;;;;;;;;;;;;;;;;;;;;;;;
e o quarto tem uns pedaços de mofo ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"mas é muito bom""";8;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de junho de 2022;Bom;Atendimento das moças;Hotel em obras;7;;;;;;;;;;;;;;;;;;;;;;;
30 de maio de 2022;Vale o custo benefício;Apesar de estarem em reforma,os funcionários são prestativos,prontamente realizam alguma solicitação.;;;;;;;;;;;;;;;;;;;;;;;;;
O café da manhã é muito variado: tem tapioca;sanduíche de queijo e presunto;pão de queijo;croissant;bolos;macaxeira;inhame;cuscuz;frango desfiado;carne moída;ovos fritos;frutas(mamão;manga;goiaba;melão);café;leite;chás variados; suco;iogurte;achocolatado;geleia;manteiga;mel;chia;"etc.""";O que não gostei,não depende do Dublê,foram as fortes chuvas que alagaram vários trechos,impedindo alguns funcionários de chegarem ao trabalho,mas isso foi geral. Ausência de sol e praia nos últimos dias,apesar do Dublê está localizado bem pertinho da praia.;9
30 de maio de 2022;Razoável, não voltaria num futuro.;O chuveiro era uma delícia! Água bem forte e quentinha. O ar condicionado muito bom também.;Cama horrível! Estou com dor nas costas, muito ruim, travesseiros super finos e molengas. Os elevadores SÃO HORRÍVEIS, um inclusive parou de funcionar no último dia. Café da manhã com pouquíssimas opções, no último dia nem um mísero pão de queijo tinha, deixou a desejar e muito nessa questão.;7;;;;;;;;;;;;;;;;;;;;;;;
23 de maio de 2022;Hotel de boa qualidade!;Gostei da localização do hotel, do atendimento dos funcionários, do café da manhã.;Achei que o quarto não estava muito cheiroso, precisa ter um espelho grande pra os hóspedes ver o vestuário.;7;;;;;;;;;;;;;;;;;;;;;;;
21 de maio de 2022;Nível dos funcionários do melhor nível. Recepção top;Regular;Tv pobre de canais locais. Sem Tv a cabo inadmissível para um 3x;8;;;;;;;;;;;;;;;;;;;;;;;
16 de maio de 2022;Muito bom;Localização;Não tem estacionamento;8;;;;;;;;;;;;;;;;;;;;;;;
15 de maio de 2022;Fantástico;A limpeza do quarto estava excepcional, as fotos dos quartos condizem com a realidade. ;;;;;;;;;;;;;;;;;;;;;;;;;
"O café da manhã é maravilhoso. A cama é confortável. Super recomendo.""";Não gostei muito do tamanho do quarto, mais pelo custo benefício vale a pena.;9;;;;;;;;;;;;;;;;;;;;;;;;;
6 de maio de 2022;Fantástico;Ótima localização e custo benefício!;;9;;;;;;;;;;;;;;;;;;;;;;;
2 de maio de 2022;Bom custo-benefício na região.;Ótima localização. Café da manhã ok. Instalações dentro do esperado. Hotel está em reforma, então parece que vão melhorar o prédio. Atendimento muito cordial.;Tudo estava ok. Dentro do esperado.;7;;;;;;;;;;;;;;;;;;;;;;;
30 de abril de 2022;Boa, exceto quanto à acessibilidade na entrada do hotel.;As instalações do quarto são boas, a limpeza é exemplar.;Acessibilidade na entrada do hotel. A rampa é muito íngreme, inútil para a sua finalidade, e não há corrimão dos dois lados, apenas de um lado, o que dificulta o apoio de quem possui dificuldades locomotoras.;8;;;;;;;;;;;;;;;;;;;;;;;
27 de abril de 2022;boa;ar condicionado;tv pequena;7;;;;;;;;;;;;;;;;;;;;;;;
25 de abril de 2022;Ótimo custo benefício na localização mais privilegiada do Recife;A localização do hotel é perfeita, no coração de boa viagem com diversos restaurantes e supermercados em volta. Também fica alguns minutos de carro dos principais pontos turísticos e shoppings de recife. E antes que eu esqueça, distância de 1 quadra da praia.;O café da manhã é simples, mas o necessário.;;;;;;;;;;;;;;;;;;;;;;;;
Fiz uma viagem de carro; o hotel não possui estacionamento e não há estacionamentos pagos ao redor; entretanto as ruas do entorno são residenciais e não me senti desconfortável em estacionar na rua do hotel. ;;;;;;;;;;;;;;;;;;;;;;;;;
"Existem alguns flanelinhas que ficam na rua pois é uma rua com restaurantes por perto e uma noite eles ficaram com raiva pois perceberam que eu estava no hotel e ficaram discutindo sobre não deixar hóspedes do hotel estacionar para não perderem vagas.""";8;;;;;;;;;;;;;;;;;;;;;;;;;;
24 de abril de 2022;A estadia foi boa.;Ar condicionado e Cama muito bom.;gostei;7;;;;;;;;;;;;;;;;;;;;;;;
23 de abril de 2022;café da manhã muito bom!;localização;do box do banheiro;8;;;;;;;;;;;;;;;;;;;;;;;
19 de abril de 2022;Bom;;O controle do ar-condiconado não funcionava.;;;;;;;;;;;;;;;;;;;;;;;;
