data_avaliacao,titulo,comentario_positivo,comentario_negativo
11 de abril de 2023,"Hotel de localização maravilhosa, Boa cama Ótima mesa!","Gostamis de toda infra estrutura!
 as Suítes reformadas estão ótimas!",
10 de abril de 2023,Boa.,"boa localização, funcionários excelentes, quarto muito confortável e local bonito.","achei o café da manhã fraco, visto que quando se trata da culinária do nordeste temos inúmeras variedades. Além do que teve um dia que desci para tomar café da manhã às 08:25 e já não tinha quase nada mais, quando se trata de café da manhã acredito que tem que manter o padrão até o último horário."
9 de abril de 2023,Excepcional,Atendimento alto padrão,
7 de abril de 2023,foi otima a estadia,"sim, cafe otimo",
2 de abril de 2023,otima! voltaria sim e indicaria!,"espaço do quarto, cama, secador potente",não tem Netflix
2 de abril de 2023,Fantástico,,área da piscina poderia abrir mais cedo e fechar mais tarde!
30 de março de 2023,Fantástico,"Café da manhã feito na hora para as pessoas, comodidades de qualidade como piscina, restaurante, bar. Atendimento sempre solícito e disponível, como camareiras e serviço de quarto. Quarto limpo, organizado e boas comodidades dentro do próprio quarto. Recomendo a todos com certeza.","O preço é bem salgado, acabamos optando pelo dia de lua de mel ser especial, mas não é algo que dá para fazer sempre. A região em si não é tão bem amparada pra turistas, então gera um pouco de insegurança de ir na farmácia etc a noite, acabamos andando mais de uber. O valor de pacote de lua de mel era bem alto, acabamos não optando."
29 de março de 2023,Perfeito,A hospedagem aqui é sempre maravilhosa. Tudo impecavel. Muito bem localizado e o café da manhã é um sonho. Vale muito a pena pegar um quarto com vista para o mar. É deslunbrante.,
28 de março de 2023,Muito bom,fraco pelo preço pedido,"cama dura, tv antiga"
27 de março de 2023,Excepcional,Área da piscina,"O restaurante Mirage, a comida podia ser melhor pelo nível do hotel"
26 de março de 2023,Hotel muito confortável,Café da manhã,Nada
26 de março de 2023,Fantástico,"hotel em frente ao mar , quantos confortáveis , bom café da manhã . boa academia de ginástica",área da piscina pequena
24 de março de 2023,razoável,localização,"café da manhã péssimo, poucas opções!"
24 de março de 2023,"excelente, sem observações","atendimento, limpeza, conforto, privacidade, café da manhã maravilhoso!",
24 de março de 2023,Muito bom,,"Solicitei que os apartamentos reservados tivessem vista para o mar, e recebi uma mensagem confirmando. Mas não foi exatamente o que aconteceu. O controle remoto do ar condicionado do meu apartamento não funcionava, e eu não tinha como regular a temperatura."
21 de março de 2023,Muito bom,"Ótimo café da manhã, ótima limpeza pessoal muito agradável",Da piscina e iluminação do quarto e elevadores
21 de março de 2023,Bom. Muito bom.,"A recepção, uma visão acolhedora, com espaço físico, cataratas com que de água de fundo azulado.
O elevador com uma visão de frete para o mar.
Entre os quartos com corredor confortável.
Piscina no ultimo andar com muita segurança.","Nenhum comentário, pois nada me desagradou."
21 de março de 2023,Fantástico,Excelente localização e qualidade das instalações!,Gostei de tudo
20 de março de 2023,Ótimo hotel em Recife,"O hotel é uma excelente opção em Recife,muito bem localizado!A música ao vivo no café da manhã é um grande diferencial!Funcionários bem treinados!!","Acho que a cama deixou a desejar em relação ao conforto!
O café da manhã é ótimo, mais são demorados para fazer às reposições!
Mais com certeza voltaremos a este hotel"
19 de março de 2023,Excepcional,"Maravilhoso café da manhã e restaurante miragem com comidas e atendimento maravilhosos, Izabel e Lúcio nos atenderam com muito carinho e dedicação 🥰, voltarei em breve.",
18 de março de 2023,Fantástico,"Localização, conforto do quarto, atendimento e café da manhã.",
18 de março de 2023,Não experimentei o famoso bolo Souza leão.,N/D,Quantidade queijos
17 de março de 2023,especial,tudo maravilhosos,
17 de março de 2023,Excelente café da manhã e ótima estadia para 1 noite em Recife.,Conforto e café da manhã.,
17 de março de 2023,Excepcional,"Excelente localização, organização e atendimento.",
17 de março de 2023,Se quer um excelente estágio para longo prazo (2-3 semanas ou mais) nao hesita de chegar aqui!,"Cafe da manha foi ótimo, a hospitalidade perfeito, as condicoes para um estágio de 2-3 semanas sao excelentes.",Nao tenho nada contra!
16 de março de 2023,amei amei amei,"fui extremamente bem tratada pelos funcionários da recepção, foram gentis carinhosos e me deram todo suporte necessário!! grata a todos",
15 de março de 2023,Excepcional,"Hotel maravilhoso, amamos a estadia!! Café da manhã maravilhoso",
13 de março de 2023,caro mas regular,"gosto do quarto amplo, moderno, cama grande firme. chuveiro forte e sem banheira para pular pra dentro. eu acho a diária muito cara para Recife mas considerando o baixo nível de serviço prestado por outros hotéis prefiro pagar esse.",ar condicionado não gela o suficiente para o tamanho do quarto e esse parece que tava era esquentando. o frigobar era do antigo e estava com problema formando gelo e descendo água.
12 de março de 2023,Quase perfeito.,Quase tudo perfeito. Quarto espaçoso e confortável. Café da manhã diversificado com destaque para o croissant maravilhoso e disponibilidade de espumante. Colaboradores simpáticos e atenciosos.,"O estacionamento, que custa R$ 30,00 a diária, deve ser em um lugar descoberto, pois quanto recebi o meu carro, ele estava muito sujo, com marcas de pós chuvas. Fiquei decepcionada."
12 de março de 2023,"Eu sempre vou amar está neste hotel , e todas as vezes foram a trabalho eu fui bem recepcionada ! indicarei e voltarei s",Eu amei a receptividade dos funcionários do hotel,Que o café da manhã que pedi no quarto tivesse sido do restaurante mirage como havia tido indo todos os dias e quando estava sem tempo o café veio do outro restaurante embaixo e não era a mesma coisa .
10 de março de 2023,Maravilhoso,Excelente em Tudo!,
8 de março de 2023,Extraordinária,"Hotel é simplesmente extraordinário, café da manhã incrivelmente espetacular.","O preço da diária, porém vale a pena kkk"
7 de março de 2023,Excepcional,Colaboradores excelentes. Excelente vista. Café da manhã perfeito!,a vista pro mar
6 de março de 2023,"não é uma frase, mas encontrar Ana Lúcia no café da manhã , depois de tanto tempo sem me hospedar aí, foi uma grande ale",a limpeza,"pra ser um 5* o quarto pequeno, falta de iluminação e espelho no banheiro pra maquiagem, ajudaria"
6 de março de 2023,perfeito,tudo!,
5 de março de 2023,Excepcional,"Café da manhã espetacular, localização em frente a praia de Boa Viagem, atendimento de manobristas (pagamento por diária pelo estacionamento), quartos espaçosos, limpos e muito confortáveis.",
2 de março de 2023,Excepcional,De frente pra Praia da Boa Viagem. Proximo do aeroporto. Quarto amplo e bem confortavel. Cafe da manhã espetacular.,Gostei de tudo. Nada a declarar
1º de março de 2023,sempre confortável,"gosto da modernidade do quarto. cama muito boa, chuveiro ótimo frigobar novo e eficiente. ar condicionado merecia um mais potente.",ar condicionado fraco para o tamanho do quarto.
27 de fevereiro de 2023,Excepcional,localização,
27 de fevereiro de 2023,Agradável!,"Café da manhã 
Localização 
Funcionários",Valor alto demais para hospedagem do pet! 95 reais a diária!!
27 de fevereiro de 2023,"tranquila, ambiente agradável com equilíbrio entre preço e serviços",em média quase tudo,o preço do jantar
26 de fevereiro de 2023,Uma das melhores equipe de staff hotel que eu já tive oportunidade de conhecer e me beneficiar,"A equipe muito gentil e preparada. Sempre a disposição para atender da melhor forma. Desde o manobrista até a Clidma fazendo aquele omelete e a tapioca dos sonhos. Fiz questão de elogiar essa hospedagem pela simpatia de toda equipe, está de parabéns quem se preocupa com quem está na linha de frente porque quando buscamos um lugar para descansar queremos conforto, segurança, limpeza e um bom atendimento. Em atendimento a minha nota é 100000.
Levamos o nosso pet e ele foi tratado como um rei, obrigada pelo carinho, desde o kit que foi disponibilizado até o tratamento que os funcionários deram para ele.","Não é uma reclamação pois existe um aviso alertando os hóspedes, mas o estacionamento fica por trás do hotel e demora um pouco a chegar, mas reforço que os manobristas são extremamente gentis minimizando esta demora."
24 de fevereiro de 2023,Excelente,"A simpatia e competência dos funcionários, o custo-benefício e a variedade do café da manhã.","A porta do box é daquelas mais “modernas”, que não fecham. Há de se ter muito cuidado para não molhar tudo durante o banho. Eu particularmente não curto."
23 de fevereiro de 2023,Excepcional,"Tudo excelente. Café da manhã e acomodações de primeira. Serviço de quarto bom e rápido. Terraço, academia, Wi-Fi boa.","O Banho poderia ser melhor, agua não era muito quente."
23 de fevereiro de 2023,Excelente,"De tudo, da localização, do custo benefício, da cortesia dos funcionários, do café e da acomodação",de nada
22 de fevereiro de 2023,Excepcional,Das acomodações e da presteza no atendimento.,
22 de fevereiro de 2023,otimo...tudo maravilhoso...,"Um cafe da manha maravilhoso, tudo perfeito...parabens",
21 de fevereiro de 2023,Fantástico,O quarto é muito bom! cama excelente!!!!,A recepção deveria avisar sobre as filas de check-in e check-out pois fica uma bagunça naquele local.
21 de fevereiro de 2023,muito boa,"confortáveis, bom café da manhã, funcionários gentis",
19 de fevereiro de 2023,Excelente e luxuosa estadia a um preço acessível,"Excelente localização, bem em frente à praia de Boa Viagem. O café da manhã é uma experiência incrível. Quarto grande, cama confortável, banheiro super amplo e limpo. No terraço tem piscina, bar, uma linda vista da cidade. Ficaria mais vezes com certeza.",Não gostei de não ter ficado mais dias.
19 de fevereiro de 2023,muito gostosa,do tratamento e local,a oferta dos produtos disponiveis no café a la carte pode ser melhorado
14 de fevereiro de 2023,Excelente Lugar em Recife,"Funcionários muito prestativos e simpáticos. O café da manhã é muito bom com várias opções de pães, bolos, tapioca e outros. O quarto tem um bom tamanho e muito bem limpo. A localização é muito boa. Check-in e check-out rápidos. Ter músicos tocando na parte da manhã e a noite no Hall é muito agradável. Com certeza volto a me hospedar no hotel.","Da sauna ser dentro do SPA e no final deste. Gera um certo constrangimento, pois temos que atravessar todo o SPA onde pessoas estão sendo atendidas."
14 de fevereiro de 2023,Hotel excelente.,Excelente localização. Café da manhã excepcional. Funcionários atenciosos,O atendimento do bar da piscina não é satisfatório.
13 de fevereiro de 2023,Maravilhoso!,Tudo perfeito!,
13 de fevereiro de 2023,Tudo maravilhoso!,Tudo perfeito!,
12 de fevereiro de 2023,"Adorei a estadia, voltarei com certeza.",Adorei o Cafe da manhã. Com muitas variedades! Tapioca muito saborosa e o bolo de rolo uma delicia!,"Foi tudo muito bom, não precisa mudar nada."
12 de fevereiro de 2023,Fantástico,Café da manhã fantástico!,O preço do restaurante muito alto !
12 de fevereiro de 2023,Excepcional,Tudo e especialmente do quarto frente ao mar que escolhemos e tivemos direito a um café especial que amamos a experiência 🙂,"De não bpodet morar lá kkkkkk 

Nada a reclamar ..... Tudo perfeito !"
10 de fevereiro de 2023,Excepcional,"O café da manhã excelente. Outro ponto positivo é a localização na praia de Boa Viagem, sendo também perto do aeroporto e do Shopping de Recife. Banho e cama excelentes.",Café muito cheio.
9 de fevereiro de 2023,Hotel nota 10,"funcionários atenciosos, café da manhã é ótimo e a piscina",
9 de fevereiro de 2023,Maravilhosa,"Um hotel Maravilhosooooo !!!
Quero poder voltar breve ...
A equipe é perfeita em todos os serviços ...gostaria de citar aqui o trio do café ( Gilson, Ellen e Lucio ) eles são perfeitos !
Todos recebam meu abraço carinhoso de muito obrigado !!",não tem .
9 de fevereiro de 2023,Muito bom,Ótima localização e staff.,"A nova academia ficou ótima, porém os aparelhos continuam verbos."
